PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PEHRUSL1,PEHRUSLT
4964,42,10,51,1,1,44,1,1,38060,50,50
4965,41,10,66,6,2,44,1,1,38060,40,40
4966,51,1,47,4,1,44,1,1,38060,45,45
4971,45,15,48,4,2,43,1,1,38060,40,40
4972,38,1,31,6,1,40,1,1,38060,48,48
4973,32,17,33,6,1,40,1,1,38060,40,40
4974,38,3,29,4,1,41,4,1,38060,40,40
4975,42,10,61,1,2,42,1,1,38060,40,40
4977,22,16,18,1,2,39,1,1,38060,40,40
4978,46,1,22,1,1,39,1,1,38060,40,40
4999,19,22,60,1,1,33,1,1,38060,40,40
5000,42,15,56,1,2,39,1,2,38060,20,20
5002,38,13,26,1,2,32,1,1,38060,40,40
5003,12,14,22,6,1,39,1,1,38060,40,40
5004,43,1,53,1,1,39,1,1,38060,40,40
5005,27,17,20,6,2,39,1,1,38060,40,40
5006,38,14,35,1,1,35,1,1,38060,40,40
5012,38,9,32,1,1,43,1,2,38060,-4,-4
5013,42,11,35,1,2,46,1,1,38060,40,40
5016,13,1,41,1,1,43,1,1,38060,50,50
5017,36,1,45,1,2,43,1,1,38060,50,50
5019,41,10,40,4,2,41,2,1,38060,36,36
5024,46,21,27,6,2,39,2,1,38060,40,40
5027,51,1,59,1,1,40,1,1,38060,40,40
5032,41,10,64,4,2,42,1,2,38060,24,24
5033,33,17,28,1,2,43,1,2,38060,1,1
5034,36,4,26,1,1,43,1,1,38060,40,40
5046,4,19,47,6,1,39,1,2,38060,24,24
5051,40,8,46,1,1,43,1,1,38060,50,50
5052,22,16,45,1,2,40,1,1,38060,40,40
5057,41,10,47,1,2,41,1,1,38060,36,36
5058,22,16,50,1,1,40,1,1,38060,-4,-4
5059,36,4,32,1,1,44,4,1,38060,40,40
5061,41,11,59,4,2,44,4,1,38060,36,36
5062,36,16,43,4,1,39,1,1,38060,40,40
5063,22,16,42,4,1,39,1,1,38060,40,40
5064,40,8,48,6,1,42,1,1,38060,40,40
5065,49,6,29,6,2,43,1,1,38060,40,40
5068,42,1,40,1,1,44,1,1,38060,40,40
5069,42,10,39,1,2,44,1,1,38060,40,40
5071,46,13,19,6,2,37,6,2,38060,-4,-4
5073,39,19,51,1,1,43,2,1,38060,40,40
5075,46,16,24,6,1,37,6,1,38060,40,40
5076,21,17,24,6,2,43,6,1,38060,40,40
5078,40,17,59,1,2,41,1,2,38060,34,34
5079,40,14,61,1,1,39,1,1,38060,40,40
5082,38,14,45,1,1,33,1,1,38060,-4,-4
5087,42,17,53,6,1,46,1,1,38060,50,50
5089,22,16,31,1,1,43,2,1,38060,-4,-4
5090,38,15,25,1,2,42,2,1,38060,40,40
5117,38,14,53,1,1,37,1,2,38060,20,20
5122,36,9,38,6,1,43,1,1,38060,40,40
5123,44,2,30,6,1,43,1,1,38060,40,40
5127,22,16,35,1,2,41,1,2,38060,10,10
5128,21,16,36,1,1,43,1,1,38060,40,40
5136,4,19,31,2,1,34,1,1,38060,39,39
5140,32,3,41,1,1,41,1,1,38060,40,40
5142,46,13,19,6,2,40,1,2,38060,30,30
5144,43,6,48,1,2,39,1,2,38060,27,27
5148,38,17,30,1,2,40,1,1,38060,40,40
5149,22,10,25,6,2,40,2,1,38060,40,40
5154,38,14,44,5,1,33,1,1,38060,40,40
5155,10,17,61,5,2,39,1,1,38060,40,40
5156,48,15,52,4,2,36,1,1,38060,40,40
5164,51,6,47,4,2,42,1,1,38060,40,40
5165,36,3,32,1,1,43,4,1,38060,40,40
5166,36,1,28,1,2,44,4,1,38060,40,40
5168,22,17,60,4,1,39,1,2,38060,28,28
5171,6,3,46,1,1,41,1,1,38060,40,40
5175,51,12,60,1,1,41,1,1,38060,40,40
5180,38,20,57,1,1,34,1,1,38060,40,40
5181,40,6,29,4,1,44,1,1,38060,40,40
5183,4,19,48,1,1,39,1,1,38060,40,40
5184,46,13,46,1,2,39,1,1,38060,40,40
5186,46,13,18,6,1,38,1,2,38060,5,5
5187,4,19,24,6,1,39,1,1,38060,40,40
5188,46,13,29,6,2,39,1,2,38060,25,25
5195,44,15,54,1,2,39,1,2,38060,12,12
5196,34,1,54,1,1,43,1,1,38060,50,50
5198,36,9,51,1,1,42,1,1,38060,60,60
5199,36,1,56,1,2,44,1,1,38060,40,40
5200,36,1,60,4,2,44,1,1,38060,60,60
5202,41,10,36,4,2,44,1,1,38060,40,40
5204,36,3,36,1,1,43,4,1,38060,38,38
5221,36,17,65,4,2,39,1,1,38060,37,37
5223,40,13,69,3,2,39,1,2,38060,25,25
5224,41,1,51,4,2,41,1,1,38060,40,40
5227,22,1,33,6,1,40,1,1,38060,40,40
5228,22,9,35,1,2,39,1,1,38060,36,36
5229,22,21,41,1,1,39,1,1,38060,40,40
5231,46,13,16,6,2,36,1,2,38060,20,20
5232,4,19,55,1,1,39,1,1,38060,40,40
5234,4,1,85,3,1,43,1,1,38060,50,50
5235,36,3,31,1,1,44,4,1,38060,40,40
5241,46,13,26,6,1,40,1,1,38060,40,40
5242,46,13,21,6,2,40,1,1,38060,40,40
5245,4,19,51,1,1,39,1,1,38060,35,35
5248,40,8,61,1,2,44,1,1,38060,40,40
5254,46,1,25,6,1,40,4,1,38060,50,50
5255,36,1,41,6,1,40,1,1,38060,40,40
5256,4,1,72,1,1,40,1,2,38060,20,20
5258,41,10,49,4,1,46,1,1,38060,60,60
5259,41,10,44,4,2,43,1,1,38060,40,40
5266,32,2,30,6,1,40,1,1,38060,40,40
5269,42,11,30,4,2,43,1,1,38060,40,40
5272,21,3,66,1,1,43,4,1,38060,40,40
5274,38,14,47,1,2,32,1,2,38060,25,25
5276,4,19,21,6,1,39,1,1,38060,40,40
5280,36,3,24,6,1,43,1,1,38060,-4,-4
5282,46,13,33,1,1,35,1,1,38060,35,35
5287,22,17,33,2,2,41,1,1,38060,45,45
5289,23,22,26,6,2,38,1,2,38060,30,30
5295,48,15,42,4,2,34,1,1,38060,40,40
5296,34,16,26,1,1,43,1,1,38060,40,40
5300,40,8,49,1,1,46,1,1,38060,40,40
5301,40,8,51,1,2,46,1,1,38060,40,40
5306,21,16,60,1,2,40,1,1,38060,40,40
5307,44,9,27,6,1,43,1,2,38060,25,25
5308,38,12,44,1,1,39,1,1,38060,40,40
5312,24,9,34,1,2,44,1,1,38060,40,40
5313,24,9,43,1,1,42,1,2,38060,3,3
5316,40,8,56,2,1,44,1,1,38060,60,60
5320,38,21,57,3,2,40,1,1,38060,58,58
5329,38,14,44,1,1,31,1,1,38060,40,40
5333,33,16,31,1,1,40,1,1,38060,35,35
5337,40,6,29,6,1,44,6,1,38060,40,40
5338,40,6,30,6,1,44,1,1,38060,40,40
5347,24,19,53,1,1,43,1,1,38060,40,40
5349,43,15,19,6,2,39,1,2,38060,20,20
5350,46,16,16,6,2,35,1,2,38060,20,20
5354,40,8,48,6,2,44,1,1,38060,40,40
5355,22,16,53,4,1,43,2,1,38060,45,45
5358,22,16,35,4,1,39,1,1,38060,35,35
5360,40,1,19,6,1,40,8,2,38060,25,25
5361,32,16,28,6,2,43,1,1,38060,40,40
5377,41,1,36,6,1,41,1,1,38060,40,40
5380,36,3,25,6,1,43,1,1,38060,40,40
5382,47,16,23,6,1,40,6,1,38060,45,45
5386,33,7,42,1,1,45,1,1,38060,40,40
5390,36,4,56,1,1,45,1,1,38060,40,40
5408,48,15,34,6,2,43,1,2,38060,30,30
5409,40,8,37,4,1,44,1,1,38060,40,40
5415,43,15,28,6,2,39,1,2,38060,-4,-4
5420,4,1,59,1,1,40,1,1,38060,50,50
5421,47,16,56,1,2,40,1,1,38060,40,40
5422,13,1,32,6,1,43,1,1,38060,40,40
5425,46,13,40,1,2,46,1,2,38060,11,11
5426,32,16,43,1,1,43,1,1,38060,45,45
5434,47,21,41,1,1,33,1,1,38060,35,35
5441,38,19,47,6,1,39,2,1,38060,40,40
5443,51,12,37,1,1,43,1,1,38060,56,56
5444,49,6,32,1,2,43,1,1,38060,40,40
5446,38,14,36,1,1,43,1,1,38060,40,40
5453,42,14,62,4,1,33,1,1,38060,40,40
5457,40,8,50,1,2,44,1,1,38060,40,40
5458,23,17,53,1,1,40,1,1,38060,40,40
5465,34,1,55,1,2,43,1,1,38060,40,40
5466,38,14,53,1,1,43,1,1,38060,40,40
5472,45,13,60,4,1,43,7,1,38060,40,40
5473,46,22,19,6,1,40,2,2,38060,26,26
5475,47,20,30,1,1,35,1,1,38060,40,40
5478,22,16,24,1,2,40,1,2,38060,30,30
5482,41,3,46,1,1,42,1,1,38060,40,40
5485,34,16,48,1,2,42,4,1,38060,40,40
5486,32,2,51,1,1,39,1,1,38060,45,45
5498,49,6,62,1,1,44,1,1,38060,60,60
5501,38,14,64,1,2,39,1,1,38060,40,40
5502,38,22,59,1,1,36,1,2,38060,25,25
5503,38,14,26,6,1,38,1,1,38060,40,40
5504,40,1,35,6,2,44,1,1,38060,50,50
5508,48,15,44,4,2,39,1,1,38060,35,35
5511,25,2,56,1,2,43,1,1,38060,60,60
5512,32,1,57,1,1,40,1,1,38060,60,60
5514,20,20,29,6,1,37,2,1,38060,36,36
5523,42,10,61,1,1,43,1,2,38060,20,20
5525,49,6,52,6,1,43,4,1,38060,40,40
5527,22,16,57,1,2,43,1,1,38060,40,40
5528,22,16,65,1,1,41,1,1,38060,40,40
5529,10,4,34,1,1,40,1,1,38060,40,40
5537,47,20,76,3,1,42,1,1,38060,40,40
5539,29,16,35,6,1,40,1,1,38060,40,40
5542,41,10,59,1,2,43,1,1,38060,40,40
5544,51,12,27,6,2,43,1,1,38060,45,45
5549,22,17,45,1,2,42,1,1,38060,40,40
5550,4,20,59,1,1,39,1,1,38060,43,43
5551,22,16,23,6,2,40,2,1,38060,35,35
5552,44,14,65,3,2,40,1,1,38060,40,40
5566,40,8,55,1,2,44,1,1,38060,40,40
5568,22,16,40,6,1,46,1,1,38060,40,40
5569,42,1,48,1,1,43,1,1,38060,75,75
5570,42,11,47,1,2,40,1,1,38060,40,40
5574,36,3,34,1,1,43,4,1,38060,40,40
5577,42,17,24,1,2,40,1,1,38060,40,40
5581,32,1,45,6,1,43,1,1,38060,40,40
5585,36,4,60,1,1,39,1,1,38060,40,40
5586,22,1,52,1,1,39,1,1,38060,36,36
5587,33,2,59,1,2,41,1,1,38060,40,40
5588,29,9,53,4,2,43,1,1,38060,50,50
5590,4,20,41,1,1,40,1,1,38060,40,40
5598,48,15,58,3,1,39,1,1,38060,40,40
5600,32,2,34,6,1,39,1,1,38060,40,40
5602,23,22,37,6,1,39,2,1,38060,40,40
5603,36,17,51,3,2,39,2,1,38060,40,40
5605,38,17,22,6,2,40,2,1,38060,40,40
5610,36,1,32,4,1,43,1,1,38060,50,50
5611,42,10,59,4,2,46,1,1,38060,40,40
5615,40,3,43,1,1,39,1,1,38060,40,40
5616,36,7,40,1,2,39,1,1,38060,40,40
5623,32,3,48,1,1,43,1,1,38060,55,55
5627,10,21,37,6,2,39,1,1,38060,40,40
5630,42,15,42,4,2,37,1,1,38060,35,35
5636,33,16,22,5,1,40,2,2,38060,24,24
5637,42,15,26,6,2,40,2,1,38060,40,40
5638,42,9,59,4,2,43,2,1,38060,35,35
5644,36,1,45,1,1,43,1,1,38060,40,40
5648,22,1,37,6,2,43,1,1,38060,40,40
5651,36,1,43,4,2,39,1,1,38060,40,40
5655,22,16,44,4,2,39,1,2,38060,27,27
5656,22,16,19,6,2,37,1,2,38060,28,28
5665,23,17,61,1,1,33,1,1,38060,40,40
5666,29,17,34,6,2,39,1,1,38060,40,40
5671,39,22,32,6,1,39,1,1,38060,40,40
5674,29,3,42,1,1,43,1,1,38060,45,45
5675,22,9,42,1,2,43,1,1,38060,45,45
5679,36,2,55,4,1,43,1,1,38060,50,50
5682,22,20,53,1,1,40,2,1,38060,50,50
5683,40,8,57,1,2,44,1,1,38060,40,40
5686,4,19,32,2,1,39,1,1,38060,68,68
5687,46,1,64,1,2,33,1,1,38060,40,40
5688,4,19,60,1,1,33,1,1,38060,40,40
5690,4,19,23,6,1,40,1,1,38060,40,40
5692,8,4,40,1,1,43,1,1,38060,40,40
5696,42,22,33,1,1,41,1,1,38060,50,50
5700,23,22,34,6,1,39,1,1,38060,40,40
5701,46,13,34,6,2,40,1,2,38060,25,25
5704,22,16,23,6,1,43,1,1,38060,40,40
5705,32,17,24,6,2,40,1,1,38060,40,40
5707,38,14,45,6,2,35,1,1,38060,40,40
5711,44,9,55,2,1,44,1,1,38060,47,47
5712,36,1,46,1,1,44,1,1,38060,60,60
5713,36,1,45,1,2,44,1,2,38060,0,0
5718,5,22,63,1,1,39,1,1,38060,48,48
5722,4,19,64,5,1,33,1,1,38060,40,40
5723,38,14,25,6,1,39,1,1,38060,40,40
5725,22,16,56,4,1,39,1,2,38060,20,20
5729,33,17,32,1,2,42,1,1,38060,40,40
5730,21,20,32,1,1,40,1,1,38060,40,40
5734,47,20,32,1,1,39,1,1,38060,40,40
5735,46,17,30,1,2,39,1,1,38060,40,40
5738,32,1,52,4,2,43,1,1,38060,40,40
5745,22,16,21,6,2,39,1,2,38060,20,20
5746,4,19,43,6,1,38,1,2,38060,30,30
5747,38,14,20,6,1,38,1,1,38060,40,40
5757,42,11,24,1,2,39,1,1,38060,40,40
5758,46,1,36,1,1,39,1,1,38060,40,40
5760,36,2,43,1,1,43,1,1,38060,70,70
5765,36,17,28,6,2,40,1,1,38060,40,40
5773,22,17,32,6,1,42,1,2,38060,30,30
5777,14,17,46,1,2,40,1,1,38060,40,40
5778,4,19,48,1,1,32,1,1,38060,50,50
5782,14,22,33,1,2,39,1,1,38060,40,40
5783,4,19,35,1,1,39,1,2,38060,30,30
5788,42,11,28,1,2,40,1,2,38060,32,32
5789,4,19,27,1,1,39,1,2,38060,30,30
5793,32,1,61,1,2,39,1,1,38060,50,50
5797,36,3,58,4,2,42,1,1,38060,40,40
5799,22,17,75,4,2,40,1,2,38060,20,20
5803,44,16,19,6,1,38,2,2,38060,16,16
5804,42,17,44,4,2,39,1,1,38060,40,40
5813,22,1,30,1,1,40,1,1,38060,40,40
5814,33,17,33,1,2,41,1,1,38060,40,40
5819,22,16,71,4,1,43,1,2,38060,20,20
5822,38,14,22,1,1,40,1,1,38060,60,60
5824,42,5,72,4,2,43,1,1,38060,40,40
5832,29,4,42,1,1,40,1,1,38060,50,50
5833,41,10,43,1,2,43,1,1,38060,36,36
5836,38,17,34,1,1,40,1,1,38060,40,40
5837,51,2,37,1,2,43,1,1,38060,40,40
5841,42,1,38,1,2,43,1,1,38060,40,40
5842,51,3,47,1,1,43,4,1,38060,40,40
5864,39,17,43,6,2,39,2,1,38060,40,40
5865,46,13,18,6,1,39,2,2,38060,30,30
5870,31,8,23,6,1,39,1,2,38060,19,19
5871,22,22,21,6,1,39,1,1,38060,36,36
5877,22,16,54,1,2,37,1,2,38060,7,7
5879,48,2,47,4,2,39,1,1,38060,42,42
5881,22,17,56,4,2,39,1,1,38060,40,40
5882,22,17,49,1,1,31,4,1,38060,40,40
5884,22,17,21,6,1,40,4,2,38060,20,20
5885,45,17,27,1,1,39,4,1,38060,40,40
5886,43,8,26,1,2,40,4,1,38060,40,40
5889,42,6,55,1,1,44,2,1,38060,40,40
5893,38,17,28,6,1,40,2,2,38060,30,30
5906,42,17,24,6,2,40,1,1,38060,40,40
5907,40,8,60,1,1,44,1,1,38060,40,40
5908,40,8,58,1,2,44,1,1,38060,40,40
5912,46,13,17,6,1,37,1,2,38060,20,20
5913,22,16,18,6,2,39,1,2,38060,20,20
5915,46,13,25,6,1,39,1,1,38060,40,40
5922,33,16,65,4,1,42,1,1,38060,40,40
5925,36,5,36,5,1,43,1,1,38060,40,40
5927,43,15,32,4,2,39,1,2,38060,30,30
5930,49,6,41,1,1,43,2,1,38060,60,60
5938,38,10,52,4,2,41,1,2,38060,30,30
5944,45,13,26,6,1,40,1,2,38060,30,30
5945,43,8,42,1,2,43,1,2,38060,9,9
5946,42,1,41,1,1,43,1,1,38060,40,40
5951,37,2,40,4,1,43,1,1,38060,60,60
5952,36,3,35,1,1,39,4,1,38060,40,40
5956,23,22,47,4,1,42,1,1,38060,40,40
5957,23,22,47,2,1,44,1,1,38060,40,40
5960,40,16,46,1,1,43,1,1,38060,50,50
5962,38,14,46,5,2,39,1,1,38060,-4,-4
5965,38,14,44,6,1,31,1,2,38060,-4,-4
5968,1,1,39,1,1,43,1,1,38060,40,40
5970,22,16,27,6,1,44,1,2,38060,32,32
5974,41,11,44,4,1,40,2,1,38060,40,40
5975,23,22,41,1,1,39,1,1,38060,40,40
