PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PEERNPER,PRERNHLY,PEERNHRO
4977,22,16,18,1,2,39,1,1,38060,1,1000,40
4978,46,1,22,1,1,39,1,1,38060,1,1400,40
4999,19,22,60,1,1,33,1,1,38060,1,1500,40
5002,38,13,26,1,2,32,1,1,38060,1,950,40
5003,12,14,22,6,1,39,1,1,38060,1,900,40
5004,43,1,53,1,1,39,1,1,38060,1,1150,40
5005,27,17,20,6,2,39,1,1,38060,1,1700,40
5122,36,9,38,6,1,43,1,1,38060,1,3900,40
5149,22,10,25,6,2,40,2,1,38060,1,1500,40
5195,44,15,54,1,2,39,1,2,38060,1,1368,12
5224,41,1,51,4,2,41,1,1,38060,1,1150,40
5227,22,1,33,6,1,40,1,1,38060,1,2100,40
5280,36,3,24,6,1,43,1,1,38060,1,2300,70
5320,38,21,57,3,2,40,1,1,38060,1,1500,58
5358,22,16,35,4,1,39,1,1,38060,1,1700,35
5482,41,3,46,1,1,42,1,1,38060,1,5600,40
5514,20,20,29,6,1,37,2,1,38060,1,1225,42
5528,22,16,65,1,1,41,1,1,38060,1,1350,40
5537,47,20,76,3,1,42,1,1,38060,1,3200,40
5568,22,16,40,6,1,46,1,1,38060,1,1500,40
5602,23,22,37,6,1,39,2,1,38060,1,1300,40
5682,22,20,53,1,1,40,2,1,38060,1,2600,50
5687,46,1,64,1,2,33,1,1,38060,1,1000,40
5688,4,19,60,1,1,33,1,1,38060,1,1900,40
5690,4,19,23,6,1,40,1,1,38060,1,1350,40
5765,36,17,28,6,2,40,1,1,38060,1,2166,40
5782,14,22,33,1,2,39,1,1,38060,1,1600,40
5803,44,16,19,6,1,38,2,2,38060,1,1000,16
5804,42,17,44,4,2,39,1,1,38060,1,1425,40
5870,31,8,23,6,1,39,1,2,38060,1,1035,19
5871,22,22,21,6,1,39,1,1,38060,1,1050,35
5922,33,16,65,4,1,42,1,1,38060,1,1600,40
7502,4,19,34,1,1,39,1,1,30780,1,1500,40
7562,33,2,31,4,2,40,2,1,30780,1,1900,40
7564,51,7,26,6,2,40,2,1,30780,1,1200,40
7756,22,16,64,1,2,39,2,2,30780,1,1080,32
7909,46,16,25,5,2,43,2,1,30780,1,350,40
8069,10,21,64,1,1,41,2,1,30780,1,2050,40
10188,16,21,54,1,2,33,1,1,31080,1,1000,35
10190,6,21,18,6,1,36,1,1,31080,1,1250,40
10214,22,16,25,6,2,39,2,2,46700,1,955,20
10215,23,22,25,6,2,40,2,2,46700,1,1220,30
10313,4,19,23,6,1,37,1,1,40900,1,2864,35
10330,38,17,19,6,1,39,4,1,40900,1,1300,40
10331,36,17,22,6,1,40,21,1,40900,1,1300,40
10343,8,20,45,1,2,42,4,1,41940,1,1000,40
10352,41,10,39,1,1,42,4,2,41940,1,3200,32
10353,51,4,37,1,2,42,4,1,41940,1,2500,40
10397,28,3,27,6,2,44,1,1,41860,1,4000,40
10398,10,21,25,6,1,42,1,1,41860,1,1750,40
10468,43,2,65,1,2,43,2,1,41860,1,1822,40
10472,26,9,46,6,1,40,1,1,31080,1,2200,40
10473,13,1,33,6,2,39,1,1,31080,1,1500,40
10474,13,21,47,6,1,39,1,1,31080,1,1400,40
10527,36,3,35,1,1,43,4,1,31080,1,4000,40
10555,22,16,50,2,2,34,1,2,41940,1,1030,15
10573,46,13,27,6,1,40,1,2,31080,1,930,24
10586,46,13,41,1,1,33,1,1,31080,1,1000,40
10599,36,9,27,6,1,44,1,1,31080,1,2000,40
10628,21,16,47,1,1,39,1,1,31080,1,1900,40
10673,51,15,53,1,2,38,2,1,31080,1,1340,1
10684,44,16,60,5,1,39,2,1,31080,1,1700,40
10685,44,16,55,5,1,39,2,1,31080,1,1700,40
10745,44,13,19,6,2,40,1,2,37100,1,1000,20
10780,48,15,22,6,2,42,4,1,31080,1,1000,40
10791,26,16,23,6,2,43,1,2,31080,1,1000,20
10878,41,10,30,6,2,43,2,1,31080,1,2110,40
10887,42,15,59,1,1,39,4,2,41940,1,2830,32
10991,34,16,53,4,2,39,1,1,31080,1,1500,40
10992,23,17,26,6,1,39,1,1,31080,1,1600,40
11026,40,8,22,6,2,40,2,2,31080,1,1000,20
11047,22,21,26,6,2,36,1,1,31080,1,1000,40
11057,44,9,24,6,1,43,1,2,31080,1,1800,25
11124,22,17,26,6,1,39,2,1,31080,1,1500,40
11185,36,3,56,1,1,43,4,2,41860,1,2000,20
11193,22,17,49,4,2,43,1,1,41740,1,1600,40
11231,44,17,22,6,2,40,1,1,31080,1,1000,35
11245,42,10,73,4,2,43,1,1,41740,1,2200,40
11246,41,10,48,5,2,42,1,1,41740,1,3317,40
11258,40,12,67,6,2,43,2,2,41860,1,881,12
11318,21,16,38,4,2,39,1,1,31080,1,1500,40
11322,21,17,34,6,1,39,1,1,31080,1,1600,40
11343,42,11,37,1,2,42,1,2,40140,1,2500,16
11372,33,17,26,6,2,40,4,2,41940,1,1500,30
11484,38,17,24,6,2,39,1,1,31080,1,1200,40
11498,38,20,42,1,1,40,1,1,31080,1,1100,30
11499,40,22,35,1,2,40,1,2,31080,1,2000,30
11532,36,3,46,1,2,41,1,1,41740,1,3317,40
11565,23,22,52,1,1,37,1,1,41940,1,1500,40
11566,46,13,47,1,2,38,1,1,41940,1,1250,40
11567,14,21,20,6,2,39,1,2,41940,1,800,30
11568,14,21,21,6,2,39,1,1,41940,1,1300,40
11569,10,4,24,6,1,39,1,1,41940,1,1800,40
11588,22,17,26,6,2,40,1,1,40140,1,2166,40
11634,43,8,42,1,2,43,1,2,41940,1,3100,20
11722,42,10,51,4,2,43,4,1,31080,1,2600,40
11726,49,2,22,6,2,40,1,2,41740,1,1200,30
11732,23,22,55,1,1,39,4,1,41740,1,2800,40
11734,22,16,26,6,1,40,1,1,41740,1,1000,36
11735,23,22,32,6,1,39,1,1,41740,1,1000,40
11803,36,17,36,2,2,43,1,1,41860,1,1600,40
11859,36,17,50,1,2,42,2,1,31080,1,2000,40
11888,42,10,39,1,1,43,4,1,40900,1,2100,36
11889,41,10,38,1,2,43,4,1,40900,1,6000,36
11915,46,13,21,6,2,39,2,2,31080,1,1050,20
12019,4,3,85,6,2,42,1,1,41860,1,5400,40
12021,41,10,20,2,2,42,1,1,41860,1,1175,40
12023,49,17,22,1,1,39,4,1,41860,1,1500,40
12025,23,22,24,6,2,43,1,2,41860,1,1237,20
12055,23,17,26,2,2,39,1,1,40140,1,1000,40
12077,8,21,60,5,1,39,4,1,41740,1,1637,40
12079,41,2,36,6,2,40,4,1,41740,1,1500,25
12180,42,17,23,6,2,40,1,2,41740,1,775,30
12183,46,13,33,6,1,43,1,2,41740,1,1100,25
12195,22,16,26,6,1,43,2,1,31080,1,1250,37
12201,38,14,58,4,2,33,1,2,41740,1,1000,40
12234,23,22,37,6,1,33,1,1,41940,1,1500,40
12235,38,14,38,4,1,32,1,1,41940,1,1000,40
12242,4,19,34,6,1,40,1,1,41740,1,1500,40
12270,14,20,48,6,1,39,1,1,41860,1,3225,40
12366,44,15,42,6,1,39,1,1,31080,1,1350,40
12410,21,17,55,1,2,39,1,1,40900,1,2272,40
12412,42,15,66,3,2,42,4,1,41940,1,1000,34
12415,41,13,49,1,2,39,4,2,41940,1,2116,24
12416,47,20,52,1,1,43,4,1,41940,1,2400,40
12417,51,9,15,6,1,35,4,1,41940,1,825,40
12418,46,16,15,6,2,36,4,1,41940,1,850,40
12419,42,15,15,6,2,36,4,1,41940,1,1050,40
12421,22,16,58,1,2,39,4,2,41860,1,1100,22
12465,4,19,54,6,1,39,1,1,31080,1,1000,40
12551,26,17,31,1,1,42,2,1,31080,1,1800,30
12552,40,8,27,1,2,43,12,1,31080,1,1100,40
12583,40,8,25,6,2,43,1,1,31080,1,1100,40
12600,13,2,38,1,2,39,1,1,41940,1,3000,40
12622,40,17,47,1,2,43,1,2,31080,1,1400,30
12758,40,20,35,1,1,40,1,2,31080,1,1100,20
12809,23,22,69,4,1,40,1,2,31080,1,3287,16
12832,36,9,56,4,2,43,1,1,31080,1,1992,40
12852,46,13,25,5,1,37,2,1,41860,1,1500,40
12864,22,16,64,1,1,40,1,1,40140,1,1500,40
12879,19,17,20,6,2,40,1,2,41740,1,1500,24
12954,38,17,37,4,2,39,2,1,41860,1,2000,40
12997,38,14,79,3,1,33,4,1,41860,1,2200,40
13087,22,14,54,1,1,32,1,1,31080,1,1250,40
13092,22,16,24,6,2,39,1,1,31080,1,1070,40
13100,26,9,31,6,2,43,1,1,31080,1,2350,40
13102,45,13,56,1,1,34,1,1,31080,1,1400,40
13104,45,13,22,6,2,39,1,1,31080,1,1475,40
13105,46,16,24,6,2,39,1,2,31080,1,1200,30
13119,46,13,25,6,2,43,1,1,41740,1,213,35
13120,46,13,27,6,1,43,1,1,41740,1,2500,40
13185,8,4,45,1,1,43,4,1,41940,1,2575,40
13203,44,12,18,6,2,39,1,2,41860,1,1000,20
13208,36,1,34,6,1,42,1,1,31080,1,2000,40
13209,36,3,33,4,1,44,1,1,31080,1,2200,40
13260,4,19,34,6,1,35,1,1,40140,1,1800,40
13284,40,1,51,1,1,45,1,1,31080,1,1600,40
13292,13,21,25,6,1,39,1,1,40140,1,1350,40
13342,48,15,47,4,2,39,2,1,46700,1,1100,40
13343,23,17,19,6,1,39,2,1,46700,1,1014,40
13436,42,1,39,6,2,45,1,1,41860,1,2550,40
13440,46,3,31,1,1,43,4,1,41860,1,2000,40
13441,46,1,31,6,2,39,4,1,41860,1,1500,40
13444,46,1,33,1,2,39,4,1,41860,1,1500,40
13447,22,17,60,1,2,43,4,1,41740,1,2400,35
13455,36,5,29,1,1,43,4,1,41740,1,2000,40
13540,40,8,33,6,2,44,1,2,31080,1,1700,15
13645,4,19,31,6,1,39,1,2,31080,1,1000,16
13670,22,16,50,2,1,39,1,2,41940,1,1030,30
13799,44,17,58,6,1,40,1,1,41860,1,1844,40
13805,22,16,20,6,1,40,1,2,41740,1,1700,30
13806,36,17,21,6,1,40,1,1,41740,1,1500,40
13868,51,2,57,4,2,42,1,1,40900,1,2300,40
13871,4,22,59,6,1,38,1,2,31080,1,1000,25
13872,22,21,51,6,1,32,1,2,31080,1,1000,30
13904,44,12,18,4,2,36,1,1,31080,1,1825,35
13946,40,17,33,4,2,42,1,1,40140,1,2166,40
13999,42,17,53,1,2,39,1,2,41740,1,3200,30
14041,22,17,41,4,1,40,4,1,40140,1,1325,40
14057,51,15,39,1,2,43,1,2,31080,1,960,12
14074,46,1,26,1,2,42,1,1,31080,1,1500,40
14217,39,17,26,6,2,40,4,1,41860,1,1000,40
14251,38,22,49,1,1,40,1,1,31080,1,1200,40
14253,22,17,19,6,1,40,1,2,31080,1,1000,20
14254,26,17,30,6,2,43,1,1,31080,1,2000,45
14257,26,17,30,6,2,43,1,1,31080,1,2600,45
14265,49,14,18,6,1,39,1,2,40140,1,900,18
14315,23,17,46,1,2,39,4,1,40900,1,2020,40
14318,33,20,26,6,1,43,4,1,40900,1,3382,40
14414,27,21,23,6,1,43,4,1,41940,1,1600,40
14431,38,17,28,6,1,38,2,1,31080,1,1000,50
14507,46,13,25,6,1,37,1,2,31080,1,1000,30
14541,40,15,70,3,2,39,1,2,41940,1,1133,19
14553,42,15,61,4,2,39,4,1,31080,1,1000,40
14554,42,15,24,6,2,40,4,1,31080,1,1000,40
14567,6,22,37,1,1,33,1,1,31080,1,1100,45
14568,46,13,31,1,2,39,1,2,31080,1,1000,20
14658,40,2,43,1,2,39,2,1,41860,1,2200,40
14659,40,4,52,1,1,39,2,1,41860,1,2500,40
14665,48,15,44,1,2,39,4,2,41940,1,2500,20
14670,51,15,59,5,2,35,1,2,41740,1,1200,20
14674,46,13,38,6,2,43,1,1,41740,1,1000,35
14675,46,13,27,6,1,40,2,1,41740,1,1500,40
14785,42,17,24,6,2,40,1,1,41740,1,1850,40
14816,22,22,57,6,1,32,1,1,41940,1,1900,40
