PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PEERNPER,PRERNWA
5057,41,10,47,1,2,41,1,1,38060,2,150000
5196,34,1,54,1,1,43,1,1,38060,2,180700
5235,36,3,31,1,1,44,4,1,38060,2,90300
5307,44,9,27,6,1,43,1,2,38060,2,80000
5337,40,6,29,6,1,44,6,1,38060,2,119200
5444,49,6,32,1,2,43,1,1,38060,2,46100
5527,22,16,57,1,2,43,1,1,38060,2,144200
5822,38,14,22,1,1,40,1,1,38060,2,60000
5893,38,17,28,6,1,40,2,2,38060,2,44000
5952,36,3,35,1,1,39,4,1,38060,2,115300
7458,36,4,64,1,1,40,1,1,30780,2,134600
7912,42,15,71,3,2,42,1,1,30780,2,50000
10344,8,4,44,1,1,42,4,1,41940,2,182600
10351,38,22,56,4,1,40,2,1,40140,2,129200
10401,36,4,27,6,2,43,1,1,41860,2,127900
10575,46,13,28,6,2,43,1,1,31080,2,44200
10585,13,21,36,1,2,33,1,1,31080,2,42000
10639,14,16,57,1,2,34,4,1,40900,2,65000
10775,49,2,63,1,2,43,1,1,31080,2,211500
10801,36,3,32,1,1,44,1,1,41940,2,216000
10886,41,10,55,1,2,42,4,1,41940,2,80000
11102,34,1,52,1,2,43,4,1,31080,2,169200
11103,36,2,57,1,1,43,4,1,31080,2,230700
11136,42,15,63,2,2,39,4,1,41740,2,50000
11244,38,17,44,6,2,43,1,2,41740,2,0
11259,4,19,48,3,1,40,2,1,41860,2,96100
11285,6,21,63,1,1,40,1,1,31080,2,50000
11286,36,1,36,6,1,43,1,1,31080,2,163400
11325,22,16,20,6,2,40,1,2,40900,2,70000
11385,51,1,59,1,1,44,1,1,40140,2,230700
11531,8,4,52,1,1,42,1,1,41740,2,192300
11538,10,21,44,1,2,33,1,1,40140,2,75000
11539,4,22,47,1,1,40,1,1,40140,2,98000
11790,46,1,30,1,2,42,2,1,31080,2,90900
11843,16,21,43,1,1,31,1,1,31080,2,20000
11844,16,21,39,1,2,32,1,1,31080,2,15000
11848,16,21,38,6,1,33,1,1,31080,2,20000
11850,16,21,38,6,2,31,1,1,31080,2,15000
11858,30,17,53,1,1,40,2,1,31080,2,125000
12024,42,6,25,1,2,43,1,1,41860,2,90300
12040,42,17,33,1,1,42,4,1,31080,2,45000
12179,48,22,24,6,1,40,1,1,41740,2,80000
12181,46,13,25,6,2,43,1,1,41740,2,57600
12182,46,13,32,6,2,43,1,1,41740,2,57600
12240,48,15,36,6,1,40,1,1,41740,2,60000
12307,36,3,34,4,1,40,1,1,40140,2,115300
12503,43,2,62,4,1,43,1,1,31080,2,288461
12589,36,4,39,6,1,44,2,1,41740,2,76900
12746,40,17,28,6,2,40,2,1,31080,2,87500
12763,4,19,29,6,1,33,1,1,31080,2,40000
12793,10,2,23,6,1,43,1,1,31080,2,63400
12795,44,17,37,6,2,43,1,1,31080,2,115300
12804,4,19,28,6,1,32,1,1,31080,2,40000
12807,4,19,29,6,1,33,1,1,31080,2,40000
12810,32,16,38,6,2,43,1,1,41740,2,120100
12865,48,15,54,1,2,38,1,1,40140,2,25000
12979,23,17,33,6,1,43,1,1,41860,2,250000
12980,40,10,32,6,2,44,1,1,41860,2,127900
12996,48,15,79,3,2,33,4,1,41860,2,51900
13251,38,14,40,6,1,39,1,1,40140,2,89900
13393,10,21,25,1,1,42,1,1,40140,2,110000
13456,41,10,28,1,2,43,4,1,41740,2,138400
13750,4,19,41,1,1,39,1,1,31080,2,75000
13797,21,22,26,6,1,39,4,1,41860,2,40000
13884,38,14,52,1,1,39,1,1,41740,2,80700
13957,16,21,37,6,1,32,1,1,31080,2,30000
13958,16,21,38,6,2,32,1,1,31080,2,30000
14075,22,13,44,1,1,39,1,1,31080,2,89900
14104,41,1,57,4,1,39,1,1,31080,2,192300
14215,22,16,25,6,2,39,1,1,41860,2,57600
14216,36,9,25,6,2,40,1,1,41860,2,144200
14229,20,21,28,1,1,39,1,1,41740,2,86500
14517,4,17,33,6,2,41,1,1,31080,2,86500
14560,36,7,56,6,2,45,1,1,41940,2,96100
14624,41,10,69,4,2,43,1,1,40900,2,50000
14643,6,17,76,6,2,43,1,1,31080,2,72500
14786,48,22,24,6,1,40,1,1,41740,2,80000
14919,42,11,60,2,1,39,2,1,31080,2,42200
14921,42,13,63,2,2,39,2,1,31080,2,42200
14951,4,19,36,1,1,39,1,1,31080,2,37500
15060,8,21,65,4,2,39,4,2,41940,2,8300
15061,32,4,28,6,1,43,4,1,41940,2,153800
15167,36,1,38,1,1,43,1,1,31080,2,163400
15347,21,16,47,1,1,43,4,1,31080,2,150000
15364,38,14,38,6,1,39,1,1,46700,2,70000
15420,42,17,25,6,2,43,1,1,31080,2,61500
15523,42,15,68,1,2,44,4,2,41860,2,5700
22428,36,9,18,6,2,36,1,2,19740,2,35000
22429,5,21,44,6,1,40,1,1,19740,2,115300
22792,4,19,26,1,1,33,1,1,19740,2,100000
22793,19,21,29,1,2,39,1,1,19740,2,50000
22795,4,19,21,6,1,32,1,1,19740,2,100000
22922,34,1,50,1,1,43,1,1,19740,2,180000
24401,50,14,40,1,1,39,1,1,14860,2,50000
24404,4,19,26,6,1,43,1,1,14860,2,150000
24487,33,14,70,1,2,39,1,1,25540,2,50000
27671,36,1,27,6,1,43,1,1,47900,2,138400
27774,51,21,18,6,1,37,2,2,47900,2,6900
27916,4,19,24,6,1,37,1,1,47900,2,36900
28008,36,1,28,6,1,43,1,1,47900,2,150000
28277,51,3,48,4,2,45,2,1,47900,2,69200
28284,4,1,32,1,1,42,2,1,47900,2,73800
28343,51,17,30,6,2,43,1,1,47900,2,82600
28392,10,17,46,6,2,40,2,1,47900,2,70000
28547,40,6,25,6,1,43,1,1,47900,2,153800
28548,49,5,25,6,2,43,1,1,47900,2,101900
28549,51,17,25,6,2,43,1,1,47900,2,82600
28625,50,15,77,1,2,43,4,1,47900,2,36900
28732,51,8,38,6,1,44,1,1,47900,2,242300
28826,4,19,44,1,1,39,2,1,47900,2,48000
29022,36,2,26,6,2,44,1,1,47900,2,153800
29080,36,7,57,1,2,45,1,1,47900,2,96100
29190,38,2,52,6,1,43,2,1,47900,2,85000
29194,51,17,25,6,2,40,2,1,47900,2,87500
29223,36,3,46,1,1,44,1,1,47900,2,177100
29366,44,8,28,6,2,44,1,1,47900,2,211500
29469,38,12,26,6,1,39,2,1,47900,2,86500
29583,40,6,32,6,1,45,1,1,47900,2,153800
29584,40,7,32,6,2,45,1,1,47900,2,76900
29794,46,16,50,1,2,33,3,1,47900,2,62900
29795,46,13,54,1,1,33,3,1,47900,2,110000
29797,46,13,34,5,2,42,3,1,47900,2,80000
29826,47,16,26,6,1,43,1,1,47900,2,115300
29827,21,16,28,6,1,43,1,1,47900,2,55000
29900,51,3,46,4,1,40,2,1,47900,2,125000
30000,44,1,24,6,1,43,1,1,47900,2,138400
30053,40,8,26,6,1,46,1,1,47900,2,134600
30548,34,16,51,1,2,43,1,1,33100,2,195000
30558,22,16,44,1,2,39,1,1,33100,2,96100
30758,42,10,59,1,1,43,1,1,45300,2,288461
30915,36,17,59,1,2,43,1,1,37340,2,57600
31085,6,21,32,1,1,39,1,1,33100,2,64600
31127,32,2,24,6,1,44,1,1,45300,2,163400
31181,28,9,23,6,1,43,1,1,45300,2,105700
31224,22,22,56,1,1,39,1,1,45300,2,92300
31298,12,2,32,6,2,43,1,1,45300,2,153800
37130,46,13,24,6,1,43,1,1,12060,2,35000
45193,38,12,23,6,1,40,2,1,16980,2,11500
45195,42,11,29,6,2,40,2,1,16980,2,40000
45224,4,22,35,1,1,43,1,1,16980,2,50000
45225,13,21,38,1,2,44,1,1,16980,2,40000
45432,46,13,43,1,2,38,1,2,16980,2,16000
45441,34,16,43,1,2,43,1,2,16980,2,38400
45501,42,2,25,2,2,43,1,1,16980,2,125000
45534,23,22,23,6,1,40,2,2,16980,2,24000
45543,22,16,61,1,2,43,1,1,16980,2,5500
45586,36,4,52,6,1,43,1,1,16980,2,211500
45976,40,8,58,6,1,46,2,1,16980,2,186500
49130,49,6,26,6,1,43,6,1,26900,2,221100
49246,43,15,33,6,2,39,2,2,26900,2,6900
49402,36,7,31,1,2,45,1,1,26900,2,278800
49403,36,7,31,1,1,45,1,1,26900,2,91300
53066,21,3,26,2,1,43,1,1,28140,2,173000
53299,29,1,42,6,1,43,1,1,28140,2,240300
57019,42,10,44,1,1,46,1,1,35380,2,27600
57088,36,2,59,1,1,44,1,1,35380,2,75000
57220,49,7,29,1,2,43,1,1,35380,2,86500
57246,42,17,36,1,2,40,2,1,35380,2,165300
57311,36,1,65,3,1,40,1,1,35380,2,125000
57332,42,10,28,6,1,43,1,1,35380,2,221100
57468,22,16,65,1,1,44,4,1,35380,2,288461
57479,36,1,70,1,1,41,1,1,35380,2,152300
57486,46,16,26,6,1,39,2,1,35380,2,57600
57556,4,19,36,6,1,39,1,1,35380,2,60000
57577,4,19,29,6,1,39,1,1,35380,2,60000
62270,51,17,65,3,2,40,2,2,12580,2,39000
62304,51,2,37,3,2,43,2,1,12580,2,170700
63816,23,22,60,5,1,39,2,1,14460,2,40000
63835,36,9,26,6,1,44,1,2,14460,2,40000
63994,51,12,34,6,1,40,1,1,14460,2,90000
64070,49,2,23,6,1,43,2,1,14460,2,50000
64111,46,13,34,6,2,36,4,2,14460,2,40000
75163,23,22,34,1,2,40,1,1,28140,2,150000
82232,42,11,26,6,2,41,3,1,29820,2,50000
82352,22,16,43,1,1,42,1,1,29820,2,6900
82490,44,14,34,1,1,39,2,1,29820,2,10000
82514,45,13,42,1,2,39,1,2,29820,2,30000
82519,4,19,38,1,1,39,1,1,29820,2,70000
82706,4,19,40,1,1,39,1,1,29820,2,70000
82992,22,16,50,1,1,43,2,1,29820,2,132100
83018,22,16,36,6,2,39,2,1,29820,2,44200
92087,46,14,42,1,2,31,2,1,35620,2,25000
92088,46,13,56,1,1,31,2,1,35620,2,24700
92290,46,13,32,6,1,39,1,1,35620,2,25000
92291,46,13,27,6,2,39,1,1,35620,2,25000
92292,46,13,26,6,1,39,1,1,35620,2,80000
92475,4,19,72,1,1,39,1,1,35620,2,77000
92622,46,4,37,2,1,43,1,1,35620,2,120000
92658,49,6,53,1,1,44,2,1,35620,2,128800
92659,36,17,43,4,2,39,2,1,35620,2,88000
92721,36,3,41,1,1,43,4,1,35620,2,120000
92807,38,14,31,1,1,39,1,2,35620,2,32000
92810,22,22,45,6,1,31,1,1,35620,2,78800
92811,38,14,45,6,1,31,1,1,35620,2,60000
