PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,GTCBSA,PRFTLF,PRUNEDUR,PRUNTYPE,PELKM1,PULKM2,PULKM3,PULKM4,PULKM5,PULKM6
5201,36,2,60,4,1,43,1,38060,1,17,2,6,4,1,11,-1,-1
5250,-1,-1,19,6,1,39,1,38060,1,6,6,6,-1,-1,-1,-1,-1
5252,4,19,55,4,1,42,1,38060,1,6,5,7,-1,-1,-1,-1,-1
5253,-1,-1,18,6,1,39,1,38060,1,1,6,6,-1,-1,-1,-1,-1
5327,46,13,23,6,1,39,1,38060,1,1,3,2,-1,-1,-1,-1,-1
5356,37,2,56,4,2,39,1,38060,1,13,2,9,1,-1,-1,-1,-1
5357,23,22,27,4,2,41,2,38060,2,1,5,9,-1,-1,-1,-1,-1
5376,46,1,42,4,1,43,1,38060,1,4,2,12,6,1,-1,-1,-1
5515,22,16,24,6,1,43,4,38060,2,1,5,4,5,10,-1,-1,-1
5555,22,16,37,6,2,39,3,38060,1,2,4,8,-1,-1,-1,-1,-1
5583,4,19,57,4,1,39,1,38060,1,17,3,8,3,4,-1,-1,-1
5599,38,17,27,6,2,39,1,38060,1,2,4,6,1,-1,-1,-1,-1
5697,23,22,28,1,2,39,1,38060,1,11,5,6,4,-1,-1,-1,-1
5917,14,22,23,6,1,40,1,38060,1,1,2,6,-1,-1,-1,-1,-1
7688,45,14,31,1,2,33,2,30780,1,21,4,1,6,-1,-1,-1,-1
8088,36,9,35,6,1,42,2,30780,1,31,5,8,4,-1,-1,-1,-1
10213,22,22,55,1,1,40,2,46700,1,117,5,1,-1,-1,-1,-1,-1
10284,51,12,26,1,1,38,2,40900,1,5,3,1,10,-1,-1,-1,-1
10307,46,13,35,5,2,39,1,40900,1,13,2,6,-1,-1,-1,-1,-1
10359,42,10,56,1,1,40,1,41860,1,10,2,6,1,-1,-1,-1,-1
10363,36,9,32,6,2,39,4,41940,1,8,5,8,4,-1,-1,-1,-1
10421,34,3,35,6,2,40,4,41740,1,26,5,1,6,4,-1,-1,-1
10422,42,11,36,6,1,42,4,41740,1,56,5,4,10,6,-1,-1,-1
10423,21,16,38,6,1,43,4,41740,1,119,5,6,4,-1,-1,-1,-1
10426,40,8,30,6,1,46,1,31080,1,22,5,1,6,-1,-1,-1,-1
10482,-1,-1,18,6,1,39,1,41740,1,8,6,6,-1,-1,-1,-1,-1
10498,46,17,22,6,1,43,1,41740,1,12,5,4,10,1,6,-1,-1
10556,42,15,45,2,1,39,1,41940,1,12,5,1,2,10,-1,-1,-1
10559,38,1,35,6,1,43,1,31080,1,104,4,1,4,6,5,10,-1
10572,19,21,54,6,2,40,1,31080,1,26,2,1,-1,-1,-1,-1,-1
10618,16,1,54,6,2,32,1,31080,1,47,5,6,9,-1,-1,-1,-1
10733,41,10,31,1,1,40,1,31080,1,26,2,3,10,1,2,-1,-1
10790,36,2,31,6,2,40,1,31080,1,21,5,8,4,6,-1,-1,-1
10812,21,22,22,6,1,39,4,41860,2,17,2,1,6,-1,-1,-1,-1
10819,40,14,60,5,1,39,1,31080,1,33,5,1,2,3,4,5,6
10877,-1,-1,31,6,1,43,2,31080,1,12,6,1,6,7,8,5,-1
10937,42,11,38,2,2,38,2,40900,1,7,2,1,4,10,-1,-1,-1
10939,-1,-1,19,6,1,37,2,40900,1,9,6,1,2,6,10,-1,-1
10962,27,9,30,1,2,44,4,31080,1,4,5,6,10,-1,-1,-1,-1
11058,43,15,51,1,2,39,1,31080,1,78,5,1,3,6,8,-1,-1
11230,46,8,27,6,2,43,1,31080,1,11,2,10,8,-1,-1,-1,-1
11240,36,7,40,6,2,44,1,41740,1,3,2,2,10,-1,-1,-1,-1
11260,42,15,61,6,2,42,4,41940,1,8,2,1,4,8,-1,-1,-1
11354,46,13,42,6,1,42,1,40140,1,25,2,6,-1,-1,-1,-1,-1
11373,8,4,28,6,1,40,4,41940,1,18,5,4,5,6,8,-1,-1
11374,8,21,29,6,1,44,4,41940,1,8,5,8,1,6,-1,-1,-1
11406,38,17,29,6,1,42,4,31080,1,56,5,5,6,8,-1,-1,-1
11421,46,13,48,1,1,43,4,41940,1,113,4,1,4,6,-1,-1,-1
11445,44,9,65,1,1,42,1,31080,1,6,5,7,-1,-1,-1,-1,-1
11556,13,21,41,6,2,32,1,40140,1,119,4,1,6,2,10,-1,-1
11559,51,17,65,1,2,40,1,41940,1,7,3,1,10,4,5,-1,-1
11563,8,4,59,4,2,39,1,41940,1,52,2,6,1,-1,-1,-1,-1
11570,23,22,26,6,1,37,1,41940,1,7,5,1,-1,-1,-1,-1,-1
11578,42,15,63,6,2,40,1,41940,1,78,5,1,4,11,-1,-1,-1
11647,-1,-1,19,6,1,39,1,31080,1,104,6,10,4,6,-1,-1,-1
11702,10,17,26,6,2,40,2,31080,1,12,3,1,10,-1,-1,-1,-1
11725,50,15,43,4,2,36,1,31080,1,8,4,1,6,-1,-1,-1,-1
11736,-1,-1,45,1,2,33,1,41740,1,9,6,4,-1,-1,-1,-1,-1
11903,40,8,33,1,2,43,1,41860,1,6,2,2,9,-1,-1,-1,-1
11921,44,12,22,6,1,40,1,31080,2,2,5,1,-1,-1,-1,-1,-1
12085,8,3,45,1,1,40,4,41940,1,113,2,6,2,-1,-1,-1,-1
12105,47,17,50,4,2,39,1,41940,1,26,2,1,-1,-1,-1,-1,-1
12271,42,11,27,6,2,40,16,31080,1,2,2,1,6,4,10,-1,-1
12372,1,18,32,6,2,35,1,31080,1,6,5,1,3,-1,-1,-1,-1
12405,-1,-1,29,6,1,39,2,31080,1,5,6,1,-1,-1,-1,-1,-1
12422,-1,-1,16,6,1,37,4,41860,2,17,6,6,10,8,-1,-1,-1
12431,22,22,41,1,1,39,1,31080,1,35,2,1,6,7,-1,-1,-1
12437,46,13,52,6,1,39,1,41940,1,1,4,10,4,12,-1,-1,-1
12705,-1,-1,18,6,2,39,1,31080,1,7,6,1,2,6,10,-1,-1
12845,22,16,27,6,2,41,2,31080,1,17,5,1,4,6,-1,-1,-1
12971,36,17,51,1,2,40,1,41860,1,2,2,1,2,3,6,-1,-1
13086,51,14,41,1,2,34,1,31080,1,3,3,1,6,-1,-1,-1,-1
13091,51,14,22,1,1,39,1,31080,1,3,2,1,6,10,-1,-1,-1
13164,46,17,24,6,2,43,1,31080,1,9,5,1,4,8,6,-1,-1
13168,34,9,45,6,2,43,5,31080,1,1,2,6,4,8,9,-1,-1
13207,40,8,29,1,2,44,1,41740,1,6,3,6,9,-1,-1,-1,-1
13210,38,14,30,6,2,41,1,31080,1,13,4,6,10,-1,-1,-1,-1
13241,22,17,49,6,2,44,1,41740,1,9,5,2,4,6,8,10,-1
13272,23,2,54,1,2,40,1,40140,1,31,2,1,2,4,5,6,7
13346,16,16,16,6,2,36,1,31080,1,12,4,1,2,3,7,8,10
13484,40,14,19,6,1,40,4,41940,2,1,5,1,6,-1,-1,-1,-1
13557,-1,-1,16,6,1,36,1,31080,1,26,6,1,10,6,-1,-1,-1
13607,42,11,32,6,2,41,2,40140,1,22,5,5,6,-1,-1,-1,-1
13767,17,20,55,4,2,39,1,40140,1,52,5,10,-1,-1,-1,-1,-1
13826,-1,-1,26,6,1,37,1,31080,1,30,6,-2,-1,-1,-1,-1,-1
13865,-1,-1,41,6,2,33,1,41740,2,4,6,4,-1,-1,-1,-1,-1
13931,24,22,27,6,2,39,5,41860,1,35,2,11,2,6,8,4,-1
14029,29,2,33,6,2,43,4,41940,1,2,5,4,6,-1,-1,-1,-1
14225,-1,-1,15,6,2,35,1,31080,2,1,6,6,9,1,-1,-1,-1
14302,44,9,29,6,2,44,1,31080,1,108,5,6,4,10,12,-1,-1
