PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PRUNEDUR,PRUNTYPE
5201,36,2,60,4,1,43,1,1,38060,17,2
5250,-1,-1,19,6,1,39,1,1,38060,6,6
5252,4,19,55,4,1,42,1,1,38060,6,5
5253,-1,-1,18,6,1,39,1,1,38060,1,6
5327,46,13,23,6,1,39,1,1,38060,1,3
5356,37,2,56,4,2,39,1,1,38060,13,2
5357,23,22,27,4,2,41,2,2,38060,1,5
5376,46,1,42,4,1,43,1,1,38060,4,2
5515,22,16,24,6,1,43,4,2,38060,1,5
5555,22,16,37,6,2,39,3,1,38060,2,4
5583,4,19,57,4,1,39,1,1,38060,17,3
5599,38,17,27,6,2,39,1,1,38060,2,4
5672,38,14,37,6,1,39,1,1,38060,3,1
5697,23,22,28,1,2,39,1,1,38060,11,5
5917,14,22,23,6,1,40,1,1,38060,1,2
7688,45,14,31,1,2,33,2,1,30780,21,4
8088,36,9,35,6,1,42,2,1,30780,31,5
10213,22,22,55,1,1,40,2,1,46700,117,5
10284,51,12,26,1,1,38,2,1,40900,5,3
10307,46,13,35,5,2,39,1,1,40900,13,2
10316,46,16,21,6,2,36,1,1,40900,1,1
10359,42,10,56,1,1,40,1,1,41860,10,2
10363,36,9,32,6,2,39,4,1,41940,8,5
10421,34,3,35,6,2,40,4,1,41740,26,5
10422,42,11,36,6,1,42,4,1,41740,56,5
10423,21,16,38,6,1,43,4,1,41740,119,5
10426,40,8,30,6,1,46,1,1,31080,22,5
10482,-1,-1,18,6,1,39,1,1,41740,8,6
10498,46,17,22,6,1,43,1,1,41740,12,5
10556,42,15,45,2,1,39,1,1,41940,12,5
10559,38,1,35,6,1,43,1,1,31080,104,4
10572,19,21,54,6,2,40,1,1,31080,26,2
10616,42,15,49,1,2,37,1,2,31080,1,1
10618,16,1,54,6,2,32,1,1,31080,47,5
10733,41,10,31,1,1,40,1,1,31080,26,2
10790,36,2,31,6,2,40,1,1,31080,21,5
10812,21,22,22,6,1,39,4,2,41860,17,2
